                     1. open  2. high   3. low  4. close  5. volume          K          D           J
2024-06-12 20:00:00  541.360   541.36  541.360    541.36  1170516.0        NaN        NaN         NaN
2024-06-12 19:59:00  542.230   542.24  542.220    542.23     3441.0        NaN        NaN         NaN
2024-06-12 19:58:00  542.165   542.24  542.165    542.24     2098.0        NaN        NaN         NaN
2024-06-12 19:57:00  542.150   542.18  542.150    542.18     1066.0        NaN        NaN         NaN
2024-06-12 19:56:00  542.160   542.19  542.140    542.16      534.0        NaN        NaN         NaN
...                      ...      ...      ...       ...        ...        ...        ...         ...
2024-06-12 18:25:00  542.240   542.26  542.240    542.25      111.0  88.781817  80.700794  104.943863
2024-06-12 18:24:00  542.231   542.27  542.230    542.24       54.0  90.393552  83.931713  103.317229
2024-06-12 18:23:00  542.220   542.24  542.210    542.23     1585.0  91.113432  86.325619  100.689056
2024-06-12 18:22:00  542.250   542.25  542.200    542.22      270.0  91.238742  87.963327   97.789571
2024-06-12 18:21:00  542.190   542.27  542.190    542.24     1780.0  83.048050  86.324901   76.494348


                    1. open  2. high   3. low  4. close  5. volume          K          D          J
2024-06-12 20:00:00   541.36  541.360  541.360    541.36  1170516.0        NaN        NaN        NaN
2024-06-12 19:55:00   542.21  542.240  542.140    542.23     7168.0        NaN        NaN        NaN
2024-06-12 19:50:00   542.16  542.280  542.130    542.16     6439.0        NaN        NaN        NaN
2024-06-12 19:45:00   542.13  542.190  542.120    542.16     1602.0        NaN        NaN        NaN
2024-06-12 19:40:00   542.11  542.160  542.090    542.16      148.0        NaN        NaN        NaN
...                      ...      ...      ...       ...        ...        ...        ...        ...
2024-06-12 12:05:00   542.89  543.130  542.840    543.01   421268.0  55.639898  43.473709  79.972277
2024-06-12 12:00:00   543.00  543.005  542.694    542.90   204118.0  59.628477  48.858632  81.168167
2024-06-12 11:55:00   542.87  543.090  542.805    543.00   257946.0  66.982365  54.899876  91.147342
2024-06-12 11:50:00   542.83  542.940  542.530    542.88   251912.0  65.733341  58.511031  80.177961
2024-06-12 11:45:00   542.84  542.860  542.670    542.85   260280.0  62.457398  59.826487  67.719221
